,Symbol,Open,High,Low,traded Quantity
0,EICHERMOT,2586.1,2590.0,2450.0,2189183.0
1,TECHM,998.95,1011.0,941.9,5946290.0
2,M&M,880.0,882.5,833.1,5960870.0
3,DRREDDY,4708.0,4726.95,4443.15,1395313.0
4,RELIANCE,2080.0,2089.9,1994.95,10985697.0
5,AXISBANK,749.65,749.85,715.0,18123202.0
6,SBILIFE,880.0,885.0,845.1,1810985.0
7,TCS,3096.0,3096.0,2943.15,5366696.0
8,INDUSINDBK,1064.95,1067.1,1018.0,9412265.0
9,LT,1510.9,1511.95,1447.1,6168108.0
